episode,success,steps,path_length,spl,collisions,fps,avg_miou,avg_map
1,True,104,10.75,0.9359,0,59.79,0.65,0.72
2,True,99,11.25,0.934,0,77.79,0.65,0.72
3,True,74,8.25,0.9571,0,78.25,0.65,0.72
4,True,105,11.5,0.9302,0,76.8,0.65,0.72
5,False,500,4.25,0.0,0,77.64,0.65,0.72
6,True,120,11.42,0.8738,0,77.98,0.65,0.72
8,True,137,15.0,0.9063,0,77.54,0.65,0.72
9,False,500,1.75,0.0,0,77.73,0.65,0.72
10,False,500,5.66,0.0,0,77.22,0.65,0.72
11,False,500,4.5,0.0,0,77.54,0.65,0.72
12,True,188,9.5,0.7676,0,77.16,0.65,0.72
13,False,500,2.5,0.0,0,78.02,0.65,0.72
14,False,500,7.6,0.0,0,77.21,0.65,0.72
15,True,163,10.51,0.8318,0,76.8,0.65,0.72
16,True,179,9.25,0.7835,0,76.95,0.65,0.72
17,True,110,11.25,0.91,0,77.02,0.65,0.72
18,False,500,7.75,0.0,0,77.43,0.65,0.72
19,False,500,7.75,0.0,0,78.83,0.65,0.72
20,False,500,0.0,0.0,0,77.79,0.65,0.72
