episode,step,latency_ms,fps,detections,avg_confidence
1,0,1384.57,0.72,1,0.265
1,1,10.24,97.67,0,0.0
1,2,12.18,82.12,1,0.275
1,3,10.25,97.56,0,0.0
1,4,9.74,102.71,0,0.0
1,5,9.5,105.23,0,0.0
1,6,9.97,100.34,0,0.0
1,7,10.31,97.02,0,0.0
1,8,9.82,101.87,0,0.0
1,9,9.75,102.56,0,0.0
1,10,9.69,103.15,0,0.0
1,11,12.02,83.23,1,0.543
1,12,11.84,84.49,1,0.565
1,13,12.73,78.58,1,0.273
1,14,10.97,91.19,0,0.0
1,15,11.78,84.87,0,0.0
1,16,10.93,91.45,0,0.0
1,17,13.59,73.56,0,0.0
1,18,11.35,88.12,0,0.0
1,19,10.75,93.0,0,0.0
1,20,13.16,75.98,1,0.257
1,21,13.81,72.39,1,0.302
1,22,11.09,90.19,0,0.0
1,23,12.84,77.87,2,0.541
1,24,12.43,80.47,3,0.325
1,25,12.48,80.11,1,0.29
1,26,12.66,79.01,2,0.584
1,27,13.43,74.45,1,0.484
1,28,12.64,79.12,1,0.299
1,29,10.8,92.63,0,0.0
1,30,12.36,80.93,2,0.518
1,31,12.72,78.62,2,0.501
1,32,12.58,79.47,2,0.5
1,33,12.36,80.89,1,0.794
1,34,12.84,77.86,1,0.534
1,35,13.28,75.3,2,0.27
1,36,10.7,93.48,0,0.0
1,37,12.55,79.67,3,0.425
1,38,12.55,79.69,3,0.473
1,39,12.58,79.46,4,0.548
1,40,12.64,79.1,4,0.42
1,41,12.5,79.97,3,0.414
1,42,12.58,79.51,3,0.577
1,43,12.62,79.24,1,0.402
1,44,14.14,70.71,2,0.498
1,45,12.32,81.17,2,0.609
1,46,12.88,77.63,2,0.501
1,47,12.74,78.46,2,0.574
1,48,12.93,77.35,3,0.449
1,49,12.59,79.41,2,0.356
1,50,12.99,76.99,2,0.391
1,51,12.8,78.1,2,0.453
1,52,13.98,71.54,3,0.326
1,53,11.02,90.76,0,0.0
1,54,10.97,91.18,0,0.0
1,55,12.67,78.9,3,0.273
1,56,13.17,75.92,2,0.392
1,57,12.63,79.18,4,0.334
1,58,13.16,76.01,2,0.555
1,59,12.99,76.96,1,0.533
1,60,12.67,78.93,1,0.28
1,61,11.13,89.86,0,0.0
1,62,11.0,90.95,0,0.0
1,63,13.22,75.64,1,0.415
1,64,11.05,90.51,0,0.0
1,65,10.85,92.16,0,0.0
1,66,10.99,90.98,0,0.0
1,67,11.43,87.48,0,0.0
1,68,11.15,89.7,0,0.0
1,69,10.77,92.82,0,0.0
1,70,11.03,90.65,0,0.0
1,71,11.13,89.85,0,0.0
1,72,10.99,91.01,0,0.0
1,73,10.75,92.99,0,0.0
1,74,11.1,90.07,0,0.0
1,75,11.1,90.13,0,0.0
1,76,10.86,92.1,0,0.0
1,77,11.63,85.97,0,0.0
1,78,11.01,90.83,0,0.0
1,79,11.05,90.46,0,0.0
1,80,10.68,93.61,0,0.0
1,81,10.86,92.09,0,0.0
1,82,10.78,92.8,0,0.0
1,83,11.1,90.11,0,0.0
1,84,10.71,93.41,0,0.0
1,85,10.83,92.38,0,0.0
1,86,10.72,93.25,0,0.0
1,87,11.3,88.53,0,0.0
1,88,12.81,78.05,2,0.409
1,89,12.7,78.73,1,0.388
1,90,12.68,78.87,3,0.451
1,91,13.03,76.77,2,0.411
1,92,13.95,71.7,2,0.483
1,93,12.96,77.19,2,0.657
1,94,12.63,79.2,3,0.472
1,95,13.3,75.2,1,0.662
1,96,12.91,77.48,1,0.808
1,97,12.83,77.97,1,0.825
1,98,12.55,79.68,1,0.928
1,99,10.91,91.65,0,0.0
