episode,success,spl,nav_time,path_length,collision_count,collision_rate,step_count,action_count
1,1,0.958,0.742,13.479,2,0.0179,113,112
2,1,0.978,0.54,11.25,0,0.0,88,87
3,1,0.969,0.483,10.25,0,0.0,83,82
4,1,0.951,0.497,10.0,0,0.0,80,79
5,1,0.925,0.655,11.723,2,0.018,112,111
6,1,0.973,0.497,10.5,0,0.0,86,85
7,1,0.918,0.631,12.5,0,0.0,114,113
8,1,0.943,0.621,12.75,0,0.0,101,100
9,1,0.92,0.653,11.0,0,0.0,110,109
10,1,0.986,0.477,9.75,0,0.0,75,74
11,1,0.921,0.888,17.235,4,0.0272,148,147
12,1,0.951,0.65,13.25,0,0.0,111,110
13,1,0.904,0.599,10.492,1,0.0101,100,99
14,1,0.889,0.687,12.244,3,0.025,121,120
15,1,0.94,0.614,12.0,0,0.0,101,100
16,1,0.955,0.371,9.0,0,0.0,67,66
17,1,0.989,0.488,11.995,1,0.0128,79,78
18,1,0.991,0.345,9.75,0,0.0,59,58
19,1,0.925,0.609,12.25,0,0.0,99,98
20,1,0.964,0.492,9.997,1,0.012,84,83
