episode,success,spl,nav_time,path_length,collision_count,collision_rate,step_count,action_count
1,1,0.958,0.944,13.479,2,0.0179,113,112
2,1,0.957,0.72,11.5,0,0.0,89,88
3,1,0.969,0.638,10.25,0,0.0,83,82
4,1,0.951,0.77,10.0,0,0.0,97,96
5,1,0.925,0.861,11.723,2,0.018,112,111
6,1,0.973,0.672,10.5,0,0.0,86,85
7,1,0.937,0.825,12.25,0,0.0,109,108
8,1,0.943,0.851,12.75,0,0.0,105,104
9,1,0.92,0.873,11.0,0,0.0,110,109
10,1,0.986,0.6,9.75,0,0.0,75,74
11,1,0.921,1.181,17.235,4,0.0272,148,147
12,1,0.951,0.871,13.25,0,0.0,111,110
13,1,0.904,0.807,10.492,1,0.0101,100,99
14,1,0.889,0.901,12.244,3,0.025,121,120
15,1,0.921,0.842,12.25,0,0.0,105,104
16,1,0.955,0.503,9.0,0,0.0,67,66
17,1,0.989,0.646,11.995,1,0.0128,79,78
18,1,0.991,0.453,9.75,0,0.0,59,58
19,1,0.907,0.833,12.5,0,0.0,106,105
20,1,0.964,0.687,9.997,1,0.012,84,83
