episode,success,spl,nav_time,path_length,collision_count,collision_rate,step_count,action_count
1,1,0.991,0.373,8.5,0,0.0,53,52
2,1,0.931,0.688,13.5,0,0.0,116,115
3,1,0.928,0.608,11.957,2,0.02,101,100
4,1,0.97,0.484,11.25,0,0.0,81,80
5,1,0.952,0.549,12.0,0,0.0,92,91
6,1,0.932,0.827,15.25,0,0.0,140,139
7,1,0.944,0.688,12.746,1,0.0087,116,115
8,1,0.944,0.463,10.75,0,0.0,77,76
9,1,0.937,0.736,13.246,2,0.0164,123,122
10,1,0.947,0.534,13.75,0,0.0,94,93
11,0,0.0,4.752,26.823,0,0.0,800,800
12,1,0.935,0.51,12.25,0,0.0,89,88
13,1,0.954,0.601,14.0,0,0.0,104,103
14,1,0.983,0.496,11.25,0,0.0,81,80
15,1,0.976,0.461,10.0,0,0.0,76,75
16,1,0.935,0.699,12.25,0,0.0,112,111
17,1,0.969,0.58,14.0,0,0.0,100,99
18,1,0.967,0.662,13.75,0,0.0,110,109
19,1,0.951,0.751,14.5,0,0.0,125,124
20,1,0.932,0.775,13.996,2,0.0159,127,126
