episode,success,spl,nav_time,path_length,collision_count,collision_rate,step_count,action_count
1,1,0.991,0.428,8.5,0,0.0,53,52
2,1,0.931,0.912,13.5,0,0.0,115,114
3,1,0.928,0.81,11.957,2,0.02,101,100
4,1,0.97,0.644,11.25,0,0.0,81,80
5,1,0.952,0.737,12.0,0,0.0,92,91
6,1,0.932,1.107,15.25,0,0.0,140,139
7,1,0.944,0.924,12.746,1,0.0087,116,115
8,1,0.967,0.583,10.5,0,0.0,74,73
9,1,0.937,0.975,13.246,2,0.0164,123,122
10,1,0.947,0.725,13.75,0,0.0,94,93
11,0,0.0,6.319,26.823,0,0.0,800,800
12,1,0.935,0.688,12.25,0,0.0,89,88
13,1,0.954,0.803,14.0,0,0.0,104,103
14,1,0.983,0.656,11.25,0,0.0,81,80
15,1,0.976,0.598,10.0,0,0.0,76,75
16,1,0.935,0.924,12.25,0,0.0,112,111
17,1,0.969,0.779,14.0,0,0.0,100,99
18,1,0.967,0.878,13.75,0,0.0,110,109
19,1,0.951,0.997,14.5,0,0.0,125,124
20,1,0.932,1.017,13.996,2,0.0159,127,126
